Dates,EM Index,GOLDROLL,IND1BJB Index,IND1BRX Index,IND1BTY Index,IND1CEE1 Index,IND1CJE1 Index,OILROLL,SGBVRZ1 Index,SGIXBGB Index,SILVERROLL,SPROLL
2019-04-16,0.022299811,0.040882125,0.14866361,0.24006908,0.14866294,0.15458786,0.06504018,0.013008492,0.048315264,-7.2646463e-07,0.012548248,0.10592307
2019-04-17,0.022299811,0.040882125,0.14866361,0.24006908,0.14866294,0.15458786,0.06504018,0.013008492,0.048315264,-7.2646463e-07,0.012548248,0.10592307
2019-04-18,0.022104306,0.04052359,0.14735955,0.23796305,0.1473587,0.13511096,0.064469606,0.010315724,0.047891375,0.02947099,0.012438158,0.10499397
2019-04-23,0.021911979,0.04017103,0.14607818,0.23589377,0.14607744,0.11597287,0.063909076,0.007669566,0.04747496,0.058430195,0.012330009,0.10408097
2019-04-24,0.021723107,0.039824832,0.14481875,0.23386012,0.14481795,0.09716476,0.063358255,0.0050690733,0.047065575,0.08689023,0.012223732,0.10318362
2019-04-25,0.021537572,0.039484553,0.14358084,0.23186117,0.14358014,0.07867817,0.06281657,0.0025131644,0.046663284,0.11486359,0.012119247,0.10230167
2019-04-26,0.021354841,0.039149705,0.14236417,0.22989628,0.14236346,0.060504977,0.06228419,3.610165e-07,0.0462679,0.14236286,0.012016506,0.10143472
2019-05-07,0.021354841,0.039149705,0.14236417,0.22989628,0.14236346,0.060504977,0.06228419,3.610165e-07,0.0462679,0.14236286,0.012016506,0.10143472
2019-05-08,0.021354841,0.039149705,0.14236417,0.22989628,0.14236346,0.060504977,0.06228419,3.610165e-07,0.0462679,0.14236286,0.012016506,0.10143472
2019-05-09,0.021354841,0.039149705,0.14236417,0.22989628,0.14236346,0.060504977,0.06228419,3.610165e-07,0.0462679,0.14236286,0.012016506,0.10143472
2019-05-10,0.021354841,0.039149705,0.14236417,0.22989628,0.14236346,0.060504977,0.06228419,3.610165e-07,0.0462679,0.14236286,0.012016506,0.10143472
2019-05-13,0.021354841,0.039149705,0.14236417,0.22989628,0.14236346,0.060504977,0.06228419,3.610165e-07,0.0462679,0.14236286,0.012016506,0.10143472
2019-05-14,0.021354841,0.039149705,0.14236417,0.22989628,0.14236346,0.060504977,0.06228419,3.610165e-07,0.0462679,0.14236286,0.012016506,0.10143472
2019-05-15,0.021354841,0.039149705,0.14236417,0.22989628,0.14236346,0.060504977,0.06228419,3.610165e-07,0.0462679,0.14236286,0.012016506,0.10143472
2019-05-16,0.021354841,0.039149705,0.14236417,0.22989628,0.14236346,0.060504977,0.06228419,3.610165e-07,0.0462679,0.14236286,0.012016506,0.10143472
2019-05-17,0.021354841,0.039149705,0.14236417,0.22989628,0.14236346,0.060504977,0.06228419,3.610165e-07,0.0462679,0.14236286,0.012016506,0.10143472
2019-05-20,0.021354841,0.039149705,0.14236417,0.22989628,0.14236346,0.060504977,0.06228419,3.610165e-07,0.0462679,0.14236286,0.012016506,0.10143472
2019-05-21,0.021354916,0.039149866,0.14236414,0.22989628,0.14236325,0.06050493,0.062284283,4.0844927e-07,0.046267852,0.14236282,0.0120165525,0.101434715
2019-05-22,0.021354916,0.039149866,0.14236414,0.22989628,0.14236325,0.06050493,0.062284283,4.0844927e-07,0.046267852,0.14236282,0.0120165525,0.101434715
2019-05-23,0.021354841,0.039149705,0.14236417,0.22989628,0.14236346,0.060504977,0.06228419,3.610165e-07,0.0462679,0.14236286,0.012016506,0.10143472
2019-05-24,0.020641126,0.037841447,0.13760631,0.22221318,0.13760564,0.058482893,0.07670112,4.5847614e-07,0.044721596,0.13760518,0.0116149075,0.11496608
2019-05-28,0.019973775,0.036617707,0.13315639,0.21502708,0.1331556,0.056591623,0.09018541,3.549196e-07,0.043275267,0.13315506,0.011239321,0.1276224
2019-05-29,0.019348029,0.035470612,0.12898508,0.20829116,0.12898436,0.054818932,0.10282497,3.867767e-07,0.0419197,0.12898386,0.010887242,0.13948572
2019-05-30,0.018760333,0.03439312,0.12506722,0.2019644,0.12506653,0.05315381,0.11469664,4.190133e-07,0.040646464,0.1250661,0.010556543,0.15062839
2019-05-31,0.018207325,0.03337936,0.121380314,0.19601068,0.12137969,0.051586784,0.12586845,4.0890802e-07,0.03944823,0.12137924,0.010245371,0.16111414
