Dates,SGBVRVG1 Index,SGBVRZ1  Index,SGBVRES1 Index,SGBVRNK1 Index,SGBVRGX1 Index,SGIXTY10 Index,SGIXRX Index,SGIXGILT Index,SGIXJB10 Index,SGICCLSR Index,SGICGCSR Index,SGICSISR Index,NDUEEGF Index
2000-11-09,0.933189098,0.992047813,0.921927892,0.812398204,0.912452287,1.041540195,1.008267923,1.004399118,1.024187403,1.405671254,0.9423842,0.924155443,0.818875382
2000-11-10,0.9156271,0.984010428,0.901725316,0.813482655,0.899293057,1.042680098,1.009680496,1.006106152,1.024904902,1.408338408,0.93751584,0.916312815,0.814572302
2000-11-13,0.896401496,0.964644218,0.892691632,0.791777139,0.887377323,1.044798639,1.01270952,1.008922464,1.029619044,1.423529412,0.9371681,0.90961984,0.789559251
2000-11-14,0.931710552,0.98378087,0.916179628,0.799916708,0.91461294,1.045613803,1.011291485,1.007308967,1.028898581,1.434315755,0.93751584,0.910959435,0.802319338
2000-11-15,0.937255905,0.988833048,0.918150322,0.803172123,0.912910561,1.048227185,1.011593659,1.008416785,1.029721332,1.473409654,0.938208373,0.909812282,0.803385786
2000-11-16,0.929122292,0.987914341,0.906160249,0.794490329,0.89536482,1.050356772,1.012403705,1.011341249,1.030133449,1.458129339,0.940633712,0.90694315,0.793996569
2000-11-17,0.917475766,0.987991018,0.900411287,0.793946041,0.885151464,1.0487154,1.011897654,1.009723367,1.029309215,1.485093168,0.940285972,0.903881576,0.789693489
2000-11-20,0.897141091,0.974441865,0.884971977,0.791232852,0.867016426,1.050518037,1.013819919,1.009622523,1.032809243,1.482393537,0.942711311,0.903691633,0.773040495
2000-11-21,0.908602558,0.980871868,0.890720938,0.778751356,0.875985678,1.050847196,1.012502002,1.011439169,1.033944788,1.488685909,0.939941179,0.898718138,0.773614736
2000-11-22,0.885125089,0.953927389,0.869204333,0.772240525,0.855166202,1.054624782,1.017260336,1.019227509,1.032601702,1.497223237,0.942018778,0.898528195,0.755820717
2000-11-23,0.901207897,0.966022041,0.869204333,0.772240525,0.867081937,1.054624782,1.016752465,1.022590423,1.032601702,1.497223237,0.942018778,0.898528195,0.746893877
2000-11-24,0.920064025,0.970461748,0.884643644,0.775495941,0.874676367,1.052811099,1.017566151,1.021722291,1.036318166,1.497223237,0.942018778,0.898528195,0.756126482
2000-11-27,0.918400419,0.976432161,0.892691632,0.801001159,0.878342559,1.052647624,1.018887708,1.025297123,1.035074403,1.494077051,0.954832112,0.91229653,0.76579909
2000-11-28,0.904165633,0.959592039,0.87938753,0.79557478,0.870093322,1.056595312,1.02051872,1.02588757,1.034143434,1.450493241,0.953791839,0.912871356,0.751129838
2000-11-29,0.910820699,0.945813328,0.877252321,0.786892986,0.866034366,1.05894802,1.021845738,1.023527245,1.038693026,1.460378354,0.943056104,0.89891058,0.742232829
2000-11-30,0.888082824,0.940837827,0.868218638,0.793946041,0.838013224,1.065732211,1.028691986,1.026393249,1.0445101,1.433414525,0.955524645,0.910002224,0.728257141
